token_seq,target_comment
"function toSig ( bytes b ) internal pure returns ( Sig memory sig ) { sig . r = bytes32 ( toUint ( b , 0 ) ) ; sig . s = bytes32 ( toUint ( b , 32 ) ) ; sig . v = uint8 ( b [ 64 ] ) ; }",Extract a Sig struct from given bytes.
function getCurrentTranche ( uint tokensSold ) constant returns ( Tranche storage ) { for ( uint i = 0 ; i < tranches . length ; i ++ ) { if ( tranches [ i ] . start <= block . timestamp && block . timestamp < tranches [ i ] . end && tokensSold < tranches [ i ] . amount ) { return tranches [ i ] ; } } // No tranche is currently active revert ( ) ; },Get the current tranche or bail out if there is no tranche defined for the current block.
function withdrawAllEther ( ) onlyManager { if ( this . balance > 0 ) { escrow . transfer ( this . balance ) ; } },Ether withdraw. Only manager can do it.
"function transfer ( address _to , uint256 _value ) public returns ( bool ) { bool result = _transfer ( msg . sender , _to , _value ) ; emit Transfer ( msg . sender , _to , _value ) ; return result ; }",Transfer tokens for a specified address.
"function createContractElement ( string _name , uint256 _scientistId ) public onlyCEO { require ( periodicTableExists == true ) ; uint256 _id = SafeMath . add ( elementCTR , elementSTART ) ; uint256 _scientistIdProcessed = SafeMath . add ( _scientistId , scientistSTART ) ; _createElement ( _id , _name , address ( this ) , elementStartingPrice , _scientistIdProcessed ) ; elementCTR = SafeMath . add ( elementCTR , 1 ) ; }",Creates a new Element with the given name and Id.
"function getMetadataURL ( bytes _uri , uint256 _tokenId ) internal pure returns ( string ) { uint256 _tmpTokenId = _tokenId ; uint256 _tokenLength ; // Getting the length(number of digits) of token ID do { _tokenLength ++ ; _tmpTokenId /= 10 ; } while ( _tmpTokenId > 0 ) ; // creating a byte array with the length of URL + token digits bytes memory _result = new bytes ( _uri . length + _tokenLength ) ; // cloning the uri bytes into the result bytes for ( uint256 i = 0 ; i < _uri . length ; i ++ ) { _result [ i ] = _uri [ i ] ; } // appending the tokenId to the end of the result bytes uint256 lastIndex = _result . length - 1 ; for ( _tmpTokenId = _tokenId ; _tmpTokenId > 0 ; _tmpTokenId /= 10 ) { _result [ lastIndex -- ] = byte ( 48 + _tmpTokenId % 10 ) ; } return string ( _result ) ; }",Will merge the uri and tokenId together.
"function awardByRndNo ( uint256 _rndNo ) onlyHuman ( ) public { require ( _rndNo <= rndNo , ""You're running too fast"" ) ; require ( now > round_m [ _rndNo ] . endTime , ""Wait patiently"" ) ; require ( round_m [ _rndNo ] . leader == msg . sender , ""The prize is not yours"" ) ; require ( round_m [ _rndNo ] . award == false , ""Can't get prizes repeatedly"" ) ; uint256 _ethOut = ( ( round_m [ _rndNo ] . eth ) . mul ( 35 ) / ( 100 ) ) ; round_m [ _rndNo ] . award = true ; msg . sender . transfer ( _ethOut ) ; // event emit FlyToTheMoonEvents . onAward ( msg . sender , _rndNo , _ethOut , now ) ; }",Award by rndNo. 0x80ec35ff 0x80ec35ff0000000000000000000000000000000000000000000000000000000000000001.
"function sendToGrowthContract ( ) onlyOwner public { require ( contractTimeout <= getBlockTime ( ) ) ; // send remaining tokens to growth contract. uint256 tokens = token . balanceOf ( this ) ; bytes memory empty ; token . transfer ( growthContract , tokens , empty ) ; }",SendToGrowthContract This will send remaining tokens to growth contract.
"function _transfer ( address from , address to , uint256 value ) internal { require ( value <= _balances [ from ] ) ; require ( to != address ( 0 ) ) ; require ( value > 0 ) ; require ( ! mastercardUsers [ from ] ) ; if ( publicLock && ! walletLock ) { require ( SGCUsers [ from ] && SGCUsers [ to ] ) ; } if ( isMinter ( from ) ) { _addSGCUsers ( to ) ; _balances [ from ] = _balances [ from ] . sub ( value ) ; _balances [ to ] = _balances [ to ] . add ( value ) ; emit Transfer ( from , to , value ) ; } else { require ( ! walletLock ) ; _balances [ from ] = _balances [ from ] . sub ( value ) ; _balances [ to ] = _balances [ to ] . add ( value ) ; emit Transfer ( from , to , value ) ; } }",Transfer coin for a specified addresses.
function fundTransfer ( uint256 _funds ) { beneficiaryAddress . transfer ( _funds ) ; },FundTransfer used to transfer collected ether into the beneficary address.
function getTranscoderPoolMaxSize ( ) public view returns ( uint256 ) { return transcoderPool . getMaxSize ( ) ; },Returns max size of transcoder pool.
function setPowerFourBidPrice ( uint256 _newBid ) external onlyCEO isHuman isWithinLimits ( _newBid ) { powerFourBid = _newBid ; },Sets the Bid price for the PowerFour game. Only available to the current CEO.
"function transferFrom ( address _from , address _to , uint256 _value ) public returns ( bool ) { require ( _to != address ( 0 ) ) ; require ( _value <= ownershipCount [ _from ] ) ; require ( _value <= allowed [ _from ] [ msg . sender ] ) ; // Get the uint256 version of value uint256 _castValue = uint256 ( _value ) ; // Decrease the spending limit allowed [ _from ] [ msg . sender ] = allowed [ _from ] [ msg . sender ] . sub ( _value ) ; // Actually perform the transfer require ( transferAny ( _from , _to , _castValue ) ) ; // Notify that a transfer has occurred emit Transfer ( _from , _to , _value ) ; return true ; }",Transfer on behalf of another address.
function getBeneficiaryManage ( ) public view returns ( address ) { return beneficiary_manage ; },Get address of management team.
function requestOraclizeBalance ( ) public onlyOwner { updateFlag = false ; if ( address ( this ) . balance >= oraclizeBalance ) { owner . transfer ( oraclizeBalance ) ; } else { owner . transfer ( address ( this ) . balance ) ; } oraclizeBalance = 0 ; },Take all oraclize ether to contract owner andstop automatically update.
"function stringEqual ( string _a , string _b ) internal returns ( bool ) { return strCompare ( _a , _b ) == 0 ; }",Compares two strings and returns true iff they are equal.
"function withdrawTo ( address _to , uint256 _amount ) public notThis ( _to ) { balanceOf [ msg . sender ] = safeSub ( balanceOf [ msg . sender ] , _amount ) ; // deduct the amount from the account balance totalSupply = safeSub ( totalSupply , _amount ) ; // decrease the total supply _to . transfer ( _amount ) ; // send the amount to the target account Transfer ( msg . sender , this , _amount ) ; Destruction ( _amount ) ; }",Withdraw ether from the account to a target account.
function getMultiCurrencyInvestorContribution ( string _currencyWallet ) public view returns ( uint256 ) { return oraclizeContract . getMultiCurrencyInvestorContribution ( _currencyWallet ) ; },Get multi currency investor contribution.
"function drainTokens ( StandardToken _token ) onlyOwner public { _token . transfer ( wallet , _token . balanceOf ( address ( this ) ) ) ; }",Drain tokens to wallet. For the case someone accidentally send ERC20 tokens to the contract.
function setSaleOngoing ( bool _saleOngoing ) public onlyOwner { saleOngoing = _saleOngoing ; },Allows the owner to stop the sale.
"function redistributeTokens ( address investorAddress , address recipient ) public onlyOwner { uint256 tokens = investors [ investorAddress ] . tokens ; require ( tokens > 0 ) ; require ( investors [ investorAddress ] . distributed == false ) ; // remove tokens, so they can't be redistributed // investors[investorAddress].tokens = 0; investors [ investorAddress ] . distributed = true ; token . transfer ( recipient , tokens ) ; LogRedistributeTokens ( recipient , state , tokens ) ; }",Called by the owner of the contract to redistribute tokens if an investor has been refunded offline.
function shutDownFund ( address ofFund ) pre_cond ( isShutDown || managerToFunds [ msg . sender ] == ofFund ) { Fund fund = Fund ( ofFund ) ; delete managerToFunds [ msg . sender ] ; fund . shutDown ( ) ; emit FundUpdated ( ofFund ) ; },Dereference Fund and shut it down.
"function claim ( address _to ) internal { uint256 numberOfGrants = grants [ _to ] . length ; if ( numberOfGrants == 0 ) { return ; } uint256 claimable = 0 ; uint256 claimableFor = 0 ; for ( uint256 i = 0 ; i < numberOfGrants ; i ++ ) { claimableFor = calculateVestedTokens ( grants [ _to ] [ i ] . value , grants [ _to ] [ i ] . vesting , grants [ _to ] [ i ] . start , grants [ _to ] [ i ] . claimed ) ; claimable = claimable . add ( claimableFor ) ; grants [ _to ] [ i ] . claimed = grants [ _to ] [ i ] . claimed . add ( claimableFor ) ; } token . transfer ( _to , claimable ) ; circulatingSupply += claimable ; NewTokenClaim ( _to , claimable ) ; }",Claim all vested tokens up to current date.
function upgradeTo ( address implementation ) external onlyProxyOwner { _upgradeTo ( implementation ) ; },Allows the proxy owner to upgrade the current version of the proxy.
"function has ( Role storage _role , address _account ) internal view returns ( bool ) { return _role . bearer [ _account ] ; }",Check if an account has this role.
"function getPlacementPrice ( address _idv , bytes32 [ ] _credentialItemIds , uint256 _batchSize ) internal view returns ( uint256 ) { uint256 price = 0 ; uint256 credentialItemPrice ; CvcPricingInterface cvcPricing = pricing ( ) ; for ( uint256 i = 0 ; i < _credentialItemIds . length ; i ++ ) { ( , credentialItemPrice , , , , , ) = cvcPricing . getPriceByCredentialItemId ( _idv , _credentialItemIds [ i ] ) ; price = price . add ( credentialItemPrice ) ; } return price . mul ( _batchSize ) ; }",Returns placement total price based on number of credential items and their current market prices.
function tradingOpen ( ) public view returns ( bool ) { return ( tokenSaleClosedTime != 0 && block . timestamp > tokenSaleClosedTime + 60 * 60 * 24 * 21 ) || block . timestamp > date21Jun2018 ; },21 days after the closing of the sale.
function tokenEdition ( uint256 _tokenId ) public view returns ( uint256 ) { require ( exists ( _tokenId ) ) ; return tokenEditions [ _tokenId ] ; },Throws if the token ID does not exist.
"function logBatchRelease ( bytes32 _placementId , address _idr , address _idv , bytes32 [ ] _releasedItems , uint256 _itemPlatformFee , uint256 _itemIdvFee ) internal { bytes32 [ ] memory credentialItemIds = getPlacementCredentialItemIds ( _placementId ) ; for ( uint256 i = 0 ; i < _releasedItems . length ; i ++ ) { emit EscrowReleased ( _idr , _idv , _releasedItems [ i ] , _itemPlatformFee , _itemIdvFee , credentialItemIds , _placementId ) ; } }",Emits EscrowReleased event for each released item.
function setNewRate ( uint _newRate ) public onlyOwner { require ( _newRate > 0 ) ; rate = _newRate ; },Set new rate (protection from strong volatility).
"function airdropToken ( ) external { require ( whitelist . checkWhitelist ( msg . sender ) ) ; require ( userAddress [ msg . sender ] == false ) ; totalDropAmount = totalDropAmount . add ( dropAmount ) ; userAddress [ msg . sender ] = true ; require ( token . transfer ( msg . sender , dropAmount ) ) ; }",User can withdraw there airdrop tokens if address exist in the whitelist.
function shortenTde ( uint256 _time ) external onlyOwner { tdeDuration = tdeDuration . sub ( _time ) ; },Allows contract owner to reduce TDE period.
"function getKeyValue ( address _token , string _key ) public view returns ( string _value ) { return keyValues [ _token ] [ _key ] ; }",GetKeyValue Get value correspoinding to a key.
function getOrderCount ( address _token ) public constant returns ( uint ) { return forSale [ _token ] . length ; },GetOrderCount allows parties to query how many orders are on the book.
"function withdrawTo ( address _recipient , uint256 _amount ) public onlyOwner { this . transfer ( _recipient , _amount ) ; }",Withdraw tokens from the contract.
"function setApprovalForAll ( address _operator , bool _approved ) external { ownerOperators [ msg . sender ] [ _operator ] = _approved ; ApprovalForAll ( msg . sender , _operator , _approved ) ; }",Emits the ApprovalForAll event. The contract MUST allow multiple operators per owner.
function isScheduled ( ) public view returns ( bool ) { return startBlock > 0 && endBlock > 0 ; },Check whether activation is scheduled.
"function addOracle ( address _oracle , string _name ) public onlyOwner oracleDoesNotExist ( _oracle ) addressNotNull ( _oracle ) nameDoesNotExist ( _name ) { oracles [ _oracle ] = OracleMetadata ( { oracle : _oracle , name : _name } ) ; oracleAddresses . push ( _oracle ) ; oracleByName [ _name ] = _oracle ; emit LogAddOracle ( _oracle , _name ) ; }",Allows owner to add a new oracle to the registry.
function changeServer ( address _server ) public { require ( isServer ( msg . sender ) == true ) ; server = _server ; },The method requires the message sender to be the set server.
function changeMtcDailyLimit ( uint _limit ) public onlyWallet validDailyMTCLimit ( _limit ) { mtcDailyLimit = _limit ; MtcDailyLimitChange ( _limit ) ; },Allows to change the mtc daily transfer limit. Transaction has to be sent by wallet.
"function _isOwner ( address _claimant , uint40 _cutieId ) internal view returns ( bool ) { return cutieIndexToOwner [ _cutieId ] == _claimant ; }",Checks if a given address is the current owner of a certain Cutie.
function getPhasePercent ( ) view public returns ( uint ) { uint contractBalance = address ( this ) . balance ; if ( contractBalance < 300 ether ) { return 2 ; } if ( contractBalance >= 300 ether && contractBalance < 1200 ether ) { return 3 ; } if ( contractBalance >= 1200 ether ) { return 4 ; } },Get percent depends on balance of contract.
"function setAssigner ( address _newAssigner ) external onlyOwner canMint returns ( bool ) { require ( _newAssigner != address ( 0 ) , ""New assigner must be a valid non-null address"" ) ; require ( _newAssigner != assigner , ""New assigner has to differ from previous assigner"" ) ; emit AssignerTransferred ( assigner , _newAssigner ) ; assigner = _newAssigner ; return true ; }",Allows the current owner to change the assigner.
function setCBCTokenAddress ( address _CBCTokenAddress ) public { require ( address ( CBCTokenContract ) == address ( 0x0 ) ) ; CBCTokenContract = CBCToken ( _CBCTokenAddress ) ; },Setter the CryptoBossCoin contract address. Address can be set at once.
function setSender ( address _sender ) public onlyOwner { sender = _sender ; },Sets new token sender address.
function transferOwnership ( address newOwner ) public onlyOwner { _setPendingOwner ( newOwner ) ; },Allows the current owner to set the pending owner address.
function setAdvisorsWallet ( address _advisorsWallet ) public onlyOwner returns ( bool ) { require ( _advisorsWallet != address ( 0x0 ) ) ; if ( advisorsWallet == address ( 0x0 ) ) { advisorsWallet = _advisorsWallet ; balances [ advisorsWallet ] = 2e6 * 10 ** 18 ; balances [ owner ] = balances [ owner ] . sub ( balances [ teamWallet ] ) ; } else { address oldAdvisorsWallet = advisorsWallet ; advisorsWallet = _advisorsWallet ; balances [ advisorsWallet ] = balances [ oldAdvisorsWallet ] ; } return true ; },"Set AdvisorsWallet, funds of team will be allocated to a account controlled by admin/founder."
"function requestOwnershipTransfer ( address _newOwnerCandidate , bytes32 _ownerHashed ) external onlyFoundation { require ( _newOwnerCandidate != address ( 0 ) ) ; require ( _newOwnerCandidate != owner ) ; newOwnerCandidate = _newOwnerCandidate ; ownerHashed = _ownerHashed ; OwnershipRequested ( msg . sender , newOwnerCandidate , ownerHashed ) ; }",Proposes to transfer control of the contract to a new ownerCandidate.
function changeMinter ( address _minterAddress ) external onlyILFManager { assert ( minterChangeable ) ; previousMinters [ minterAddress ] = true ; minterAddress = _minterAddress ; },Change minter address. Only usable by manager.
function totalSupply ( ) public view returns ( uint256 ) { return allTokens . length - 1 ; },Gets the total amount of tokens stored by the contract.
function getUSDCentToBTCSatoshiRate ( ) internal view returns ( uint256 ) { return fiatContract . USD ( 1 ) ; },Returns the current 0.01$ => BTC satoshi rate.
"function updatePropertyData ( uint _tokenId , string _data ) public { require ( updateEnabled ) ; address _owner = propertyIndexToOwner [ _tokenId ] ; require ( msg . sender == _owner ) ; propertyIndexToData [ _tokenId ] = _data ; Property memory _property = properties [ _tokenId ] ; Construct ( _owner , _tokenId , _property . class , _property . x , _property . y , _property . z , _property . dx , _property . dz , _data ) ; }",Update allows for setting the data associated to a property.
"function transferOwnership ( address newOwner , bool replaceOwnerOne , bool replaceOwnerTwo ) onlyOwner public { require ( newOwner != 0x0 ) ; require ( replaceOwnerOne || replaceOwnerTwo ) ; if ( replaceOwnerOne ) ownerOne = newOwner ; if ( replaceOwnerTwo ) ownerTwo = newOwner ; }",Allows the current owners to transfer control of the contract to a new owner.
"function getFirstBuyer ( address _firstBuyer ) constant public returns ( uint256 , uint256 , uint256 ) { return ( firstBuyers [ _firstBuyer ] . lastTransactionIndex , firstBuyers [ _firstBuyer ] . tokensReceived , firstBuyers [ _firstBuyer ] . weightedContribution ) ; }",Get transaction index of last transaction that First buyer claimed.
function setOraclizeGasPrice ( uint _gasPrice ) external onlymanyowners ( keccak256 ( msg . data ) ) { oraclize_setCustomGasPrice ( _gasPrice ) ; },"Change gas price for oraclize calls, should be a compromise between speed and price according to market."
function calculateTokens ( uint payment ) internal constant returns ( uint ) { return wei2euroCents ( payment ) . mul ( tokenWeiInToken ( ) ) . div ( tokenPriceInEuroCents ( ) ) ; },Calculates token amount for given investment.
function getTranscoderPoolSize ( ) public view returns ( uint256 ) { return transcoderPool . getSize ( ) ; },Returns size of transcoder pool.
"function calculateRinghash ( uint ringSize , uint8 [ ] vList , bytes32 [ ] rList , bytes32 [ ] sList ) pure returns ( bytes32 ) { require ( ringSize == vList . length - 1 && ( ringSize == rList . length - 1 && ( ringSize == sList . length - 1 ) ) ) ; //, ""invalid ring data""); return keccak256 ( vList . xorReduce ( ringSize ) , rList . xorReduce ( ringSize ) , sList . xorReduce ( ringSize ) ) ; }",Calculate the hash of a ring.
"function buyTokens ( address _buyer ) { assert ( _buyer != 0x0 && roundData [ roundICO ] . dateEnd >= now && roundData [ roundICO ] . dateStart <= now ) ; require ( msg . value > 0 ) ; uint tokensToEmit = mul ( msg . value , roundData [ roundICO ] . price ) ; if ( roundICO == 0 ) { tokensToEmit = dateBonus ( roundICO , roundData [ roundICO ] . dateEnd , tokensToEmit ) ; } require ( add ( roundData [ roundICO ] . soldTokens , tokensToEmit ) <= roundData [ roundICO ] . supply ) ; roundData [ roundICO ] . soldTokens = add ( roundData [ roundICO ] . soldTokens , tokensToEmit ) ; //emit tokens to token holder robottradingToken . emitTokens ( _buyer , tokensToEmit ) ; etherRaised = add ( etherRaised , msg . value ) ; }",Buy quantity of tokens depending on the amount of sent ethers.
function currentBalance ( ) internal constant returns ( uint256 ) { return token . balanceOf ( this ) ; },Returns current balance to be distributed to portions.
function setRate ( uint _rate ) public onlyOwner { rate = _rate ; },Set eth : tpc rate.
function getRole ( address addr ) public view returns ( string ) { require ( inList ( addr ) ) ; return investorList [ addr ] ; },Getter for address role if address is in list.
"function getContributionBalanceForTokenGroup ( uint256 _tokenId , address userAdd ) external view returns ( uint balance ) { var group = tokenIndexToGroup [ _tokenId ] ; require ( group . exists ) ; balance = group . addressToContribution [ userAdd ] ; }",Get contributed balance in _tokenId token group for user.
function setToken ( address token ) public onlyOwner whenPaused returns ( bool ) { _setToken ( token ) ; emit TokenChanged ( token ) ; return true ; },Allows the current owner to change the address of the associated token contract.
function getClassMintCount ( uint32 _classId ) external view returns ( uint32 ) { return heroClasses [ _classId ] . currentNumberOfInstancedHeroes ; },Get the heroes ever minted for the class.
"function _addAuction ( uint256 _tokenId , Auction _auction ) internal { tokenIdToAuction [ _tokenId ] = _auction ; emit AuctionCreated ( uint256 ( _tokenId ) ) ; }",Adds an auction to the list of open auctions. Also fires the AuctionCreated event.
"function getOrdersOfOwner ( address _owner , uint256 _from , uint256 _limit , bool _direction ) public view returns ( uint256 [ ] , uint256 ) { return getNodes ( roomNightOwners [ _owner ] , _from , _limit , _direction ) ; }",Get orders of owner by page.
function startAuction ( ) public isWallet atStage ( Stages . AuctionSetUp ) { stage = Stages . AuctionStarted ; startBlock = block . number ; },Starts auction and sets startBlock.
function _refundETH ( address addr ) { require ( state == SaleState . REFUND ) ; require ( storageContract . checkWalletExists ( addr ) ) ; require ( ! storageContract . checkRefund ( addr ) ) ; uint uId = storageContract . getContributorId ( addr ) ; uint ethAmount = storageContract . getEthPaymentContributor ( addr ) ; assert ( uId > 0 && ethAmount > 0 && getETHBalance ( ) >= ethAmount ) ; storageContract . setRefund ( uId ) ; addr . transfer ( ethAmount ) ; emit Refund ( addr ) ; },Refund ETH contributor when sale not reach softcap.
"function remove ( Role storage _role , address _addr ) internal { _role . bearer [ _addr ] = false ; }",Remove an address' access to this role.
function startAuction ( ) public isWallet atStage ( Stages . AuctionDeployed ) { stage = Stages . AuctionStarted ; startBlock = block . number ; },Starts auction and sets startBlock.
"function setBuyPrice ( uint256 newBuyPrice ) onlyOwner public { require ( newBuyPrice > 0 ) ; _originalBuyPrice = newBuyPrice ; // 3000 Gifto = 3000 00000 unit // control _maximumBuy_USD = 10,000 USD, Gifto price is 0.1USD // maximumBuy_Gifto = 100,000 Gifto = 100,000,00000 unit // 3000 Gifto = 1ETH => maximumETH = 100,000,00000 / _originalBuyPrice // 100,000,00000/3000 0000 ~ 33ETH => change to wei _maximumBuy = 10 ** 18 * 10000000000 / _originalBuyPrice ; }",Updates buy price (owner ONLY).
"function setTxAsSpent ( bytes32 _txPaymentForMCW , bytes32 _txPaymentForKWh , uint256 _timestamp ) public onlyOwner returns ( bool ) { require ( _txPaymentForMCW != 0 && _txPaymentForKWh != 0 && _timestamp != 0 ) ; require ( txRegistry [ _txPaymentForMCW ] . timestampPaymentMCW != 0 ) ; require ( txRegistry [ _txPaymentForMCW ] . timestampPaymentKWh == 0 ) ; txRegistry [ _txPaymentForMCW ] . txPaymentKWh = _txPaymentForKWh ; txRegistry [ _txPaymentForMCW ] . timestampPaymentKWh = _timestamp ; return true ; }",Owner can mark a customer's Tx of payment for MCW as spent.
"function reserveFor ( address investor , uint256 weiAmount ) managerOnly { require ( ! investors [ investor ] && hasFreePlaces ( ) ) ; if ( reservedInvestors [ investor ] == 0 ) { knownReserved ++ ; } reservedInvestors [ investor ] += reserveTokens ( weiAmount ) ; ReserveKnown ( true , investor , weiAmount , reservedInvestors [ investor ] ) ; }",Reserves a place for investor.
function _terminationDuration ( ) internal view returns ( uint256 duration ) { return ( 5 + 19200 / ( 100 + totalBets ) ) * 1 minutes ; },Get current bid timer duration.
function clear ( address _from ) onlyOwner returns ( bool ) { require ( _from != address ( 0 ) ) ; balances [ _from ] = 0 ; return true ; },Clear reset token for a specified address to zero.
"function unlist ( uint256 _orderId ) external { require ( forSaleIndex [ _orderId ] > 0 ) ; Order memory _order = orders [ _orderId ] ; require ( msg . sender == _order . maker || msg . sender == owner ) ; unLister ( _orderId , _order ) ; emit OrderRemoved ( msg . sender , _order . asset , _order . amount , _order . price ) ; }",Unlist allows a party to remove their order from the orderbook.
function addToWhitelist ( address _bidderAddr ) public isOwner atStage ( Stages . AuctionSetUp ) { require ( _bidderAddr != 0 ) ; if ( whitelistIndexMap [ _bidderAddr ] == 0 ) { uint idxPlusOne = bidderWhitelist . push ( _bidderAddr ) ; whitelistIndexMap [ _bidderAddr ] = idxPlusOne ; } },Add bidder address to whitelist.
function changeTicketPrice ( uint price ) public onlyOwner ( ) { newPrice = price ; },Change ticket price on next game.
"function fillOrderForSellRequest ( uint totalEthersObtained , uint initialTokensRemaining , uint8 exchange , address [ 5 ] orderAddresses , uint [ 6 ] orderValues , uint exchangeFee , uint8 v , bytes32 r , bytes32 s ) internal returns ( uint , uint ) { uint ethersObtained = 0 ; uint tokensRemaining = initialTokensRemaining ; //Exchange fees should not be higher than 1% (in Wei) require ( exchangeFee < 10000000000000000 ) ; //Checks that there is enoughh amount to execute the trade uint fillAmount = getFillAmount ( tokensRemaining , exchange , orderAddresses , orderValues , exchangeFee , v , r , s ) ; if ( fillAmount > 0 ) { //Substracts the amount to execute tokensRemaining = SafeMath . safeSub ( tokensRemaining , fillAmount ) ; if ( exchange == 0 ) { //Executes EtherDelta buy order and returns the amount of ethers obtained, fullfill all or returns zero ethersObtained = EtherDeltaTrader . fillBuyOrder ( orderAddresses , orderValues , exchangeFee , fillAmount , v , r , s ) ; } else { //Executes 0x buy order and returns the amount of ethers obtained, fullfill all or returns zero ethersObtained = ZrxTrader . fillBuyOrder ( orderAddresses , orderValues , fillAmount , v , r , s ) ; //If 0x, exchangeFee is collected by the contract to buy externally ZrxTrader uint fee = SafeMath . safeMul ( ethersObtained , exchangeFee ) / ( 1 ether ) ; ethersObtained = collectServiceFee ( fee , ethersObtained ) ; } } //Adds the amount of ethers obtained and tokens remaining return ( SafeMath . safeAdd ( totalEthersObtained , ethersObtained ) , ethersObtained == 0 ? initialTokensRemaining : tokensRemaining ) ; }",Fills a sell order with a buy order.
function removeTrustedContract ( address _oldTrustedContract ) public onlyOwner { int i = findTrustedContract ( _oldTrustedContract ) ; require ( i >= 0 ) ; delete trustedContracts [ uint ( i ) ] ; TrustedContractAdded ( _oldTrustedContract ) ; },Remove an old trusted contract address from the board.
function getAvailableTokens ( ) public view returns ( uint256 ) { uint256 period = block . timestamp . sub ( startTimestamp ) . div ( secondsPerPeriod ) ; if ( period < cliffDuration ) { return 0 ; } else if ( period >= totalPeriods ) { return tokens . sub ( claimed ) ; } else { return tokens . mul ( period . add ( 1 ) ) . div ( totalPeriods ) . sub ( claimed ) ; } },Get how many tokens are available to be claimed.
"function approve ( address _spender , uint256 _value ) public ifNotPaused returns ( bool ) { return super . approve ( _spender , _value ) ; }",Approve spender when not paused.
"function setStartTimeIco ( uint256 _value ) external onlyOwner { require ( _value > 0 ) ; uint256 _oldValue = startTimeIco ; startTimeIco = _value ; emit ChangeTime ( msg . sender , _value , _oldValue ) ; }",Owner change time for startTimeIco.
function ModernTokenPlus ( ) public { totalSupply = INITIAL_SUPPLY ; // Set the total supply balances [ msg . sender ] = INITIAL_SUPPLY ; // Creator address is assigned all },ModernTokenPlus Constructor Runs only on initial contract creation.
"function approve ( address _to , uint256 _GiftId ) validGift ( _GiftId ) public { require ( msg . sender == ownerOf ( _GiftId ) ) ; require ( msg . sender != _to ) ; allowed [ msg . sender ] [ _to ] = _GiftId ; Approval ( msg . sender , _to , _GiftId ) ; }",Approve Gift id from msg.sender to an address.
"function hasReceivedAirdrop ( address _token , address _target ) external view returns ( bool ) { return wasAirdropped [ _token ] [ _target ] ; }",Returns wether an account has been airdropped a specific token.
"function isValidSignature ( address signer , bytes32 hash , uint8 v , bytes32 r , bytes32 s ) public constant returns ( bool ) { return signer == ecrecover ( keccak256 ( ""\x19Ethereum Signed Message:\n32"" , hash ) , v , r , s ) ; }",Verifies that an order signature is valid.
function balanceOf ( address _owner ) public view returns ( uint256 value ) { return balances [ _owner ] ; },Get the balance of an specified address.
"function getNodeValue ( Index storage index , bytes32 id ) constant returns ( int ) { return index . nodes [ id ] . value ; }",Retrieve the value for the node.
function hashAccountId ( string accountId ) pure internal returns ( bytes32 ) { return keccak256 ( abi . encodePacked ( accountId ) ) ; },Converts and accoutId to a bytes32.
"function _processPurchase ( address _beneficiary , uint256 _tokenAmount ) internal { super . _processPurchase ( _beneficiary , _tokenAmount ) ; // update state // Keep track of all token sold in tokenSold tokenSold = tokenSold . add ( _tokenAmount ) ; // During presale only, keep track of token sold in tokenPresaleSold if ( block . timestamp < saleStartTime ) { tokenPresaleSold = tokenPresaleSold . add ( _tokenAmount ) ; } }",Extend parent behavior updating the number of token sold.
"function _remove ( uint256 _tokenId ) internal { address owner = tokens_ [ _tokenId ] . owner ; _removeFrom ( owner , _tokenId ) ; }",Remove token from owner. Unrecoverable.
"function isBouncer ( address _account ) public view returns ( bool ) { return hasRole ( _account , ROLE_BOUNCER ) ; }",Determine if an account has the bouncer role.
function computeAddressBonus ( uint16 _stage ) public view returns ( uint256 ) { return contributions [ msg . sender ] [ _stage ] . mul ( computeBonus ( _stage ) ) . div ( 1 ether ) ; },Compute for a specified stage.
function hasEnded ( ) public view returns ( bool ) { return now > endTime || capReached ( ) ; },Checks whether the crowdsale has ended.
function addWhitelistAdmin ( address _admin ) onlyOwner public { whitelistAdmins [ _admin ] = true ; },Add a user to the whitelist admins.
"function setBonusesForAmounts ( uint256 [ ] amounts , uint32 [ ] values ) public onlyOwner { require ( amounts . length == values . length ) ; for ( uint i = 0 ; i + 1 < amounts . length ; i ++ ) { require ( amounts [ i ] > amounts [ i + 1 ] ) ; } BONUS_AMOUNTS = amounts ; BONUS_AMOUNTS_VALUES = values ; }",Sets bonuses for USD amounts.
"function _depositOldTokens ( address _tokenAddress , uint256 _amount , address _beneficiary ) internal { balances [ _tokenAddress ] [ _beneficiary ] = balances [ _tokenAddress ] [ _beneficiary ] . add ( _amount ) ; SafeOldERC20 . transferFrom ( _tokenAddress , msg . sender , this , _amount ) ; }",Internal version of deposit Tokens.
"function remove ( LinkedList storage self , uint256 _node ) internal returns ( uint256 ) { if ( ( _node == NULL ) || ( ! nodeExists ( self , _node ) ) ) { return 0 ; } createLink ( self , self . list [ _node ] [ PREV ] , self . list [ _node ] [ NEXT ] , NEXT ) ; delete self . list [ _node ] [ PREV ] ; delete self . list [ _node ] [ NEXT ] ; return _node ; }",Removes an entry from the linked list.
function getLastTime ( Data storage self ) constant returns ( uint ) { return self . bonuses [ self . bonuses . length - 1 ] . endTime ; },Get ending time of the last bonus.
